,Date,Value
0,727939,102251.12168408684
1,731961,182286.96990704766
2,729962,113206.59900738185
3,726468,165549.43510756918
4,731663,240411.86348341845
5,729755,50516.92321297147
6,731971,106511.58508759044
7,727198,139073.69824293954
8,728579,151246.45082437844
9,731224,258975.31117011278
10,732677,205719.5186263176
11,732312,286059.68566381437
12,730816,82774.71755378459
13,732615,280886.26581670286
14,732607,66037.18275430608
15,732312,216370.6771350766
16,732654,294276.2936562856
17,732278,236760.03770898678
18,732312,242237.7763706343
19,732437,213023.1701751809
20,732347,260192.58642825668
21,732312,174070.36191457638
22,732663,199633.14233559812
23,732261,179243.78176168792
24,732363,106511.58508759044
25,732418,84904.9492555364
26,731947,199937.4611501341
27,732261,197502.9106338463
28,732363,162810.5657767454
29,731947,266278.96271897614
30,732089,231282.29904733927
31,732096,180461.05701983182
32,732166,205415.1998117816
33,731581,241629.13874156235
34,732096,121423.20699985312
35,731947,192938.1284158067
36,732312,156115.551856954
37,731947,153985.3201552022
38,731581,161288.97170406554
39,732109,199328.82352106215
40,731117,195676.99774663046
41,731851,251367.34080671344
42,731117,196589.95419023838
43,731117,193242.4472303427
44,731581,99512.25235326309
45,731581,126596.62684696465
46,732109,289407.19262371
47,731581,201763.37403734992
48,731823,223370.00986940396
49,731581,248628.4714758897
50,731581,208154.06914260535
51,732654,234325.487192699
52,731663,242237.7763706343
53,731581,171027.1737692167
54,728176,255627.8042102171
55,731663,272061.0201951596
56,731581,235542.76245084289
57,731216,180156.73820529584
58,730486,104989.99101491059
59,731227,195068.3601175585
60,730120,136030.5100975798
61,731216,130857.09025046827
62,731216,253801.89132300124
63,730851,150942.13200984246
64,731390,196589.95419023838
65,731308,94947.47013522348
66,731216,244063.68925785014
67,731047,131770.04669407618
68,731050,138769.37942840357
69,730851,183808.5639797275
70,731358,172853.08665643248
71,730851,209371.34440074922
72,731050,194764.04130302253
73,731026,222152.7346112601
74,731327,236151.40007991483
75,731117,179548.1005762239
76,730996,278451.71530041506
77,730851,242237.7763706343
78,730851,157941.46474416985
79,730955,127205.2644760366
80,730830,214240.44543332478
81,730808,199024.50470652618
82,730851,254410.5289520732
83,730830,157332.8271150979
84,732216,233108.21193455512
85,726833,190807.8967140549
86,731327,176200.5936163282
87,730486,143942.79927551508
88,730626,257758.03591196888
89,730490,156419.87067148997
90,732588,203284.9681100298
91,730830,197502.9106338463
92,731327,225804.56038569176
93,730410,183808.5639797275
94,730508,236455.7188944508
95,730955,237368.67533805873
96,730263,237672.9941525947
97,730490,222152.7346112601
98,726483,246193.92095960194
99,730120,149420.5379371626
100,730120,163114.88459128138
101,726483,171027.1737692167
102,730486,189590.621455911
103,729755,194155.4036739506
104,730346,189286.30264137502
105,729390,168592.6232529289
106,732109,288189.9173655661
107,730388,230369.34260373135
108,730121,179548.1005762239
109,731947,216979.31476414853
110,730256,228543.4297165155
111,730346,208762.7067716773
112,729765,161897.6093331375
113,729755,224891.60394208384
114,729941,187156.07093962323
115,730178,124466.39514521284
116,731581,193546.76604487866
117,731151,133595.95958129203
118,729390,73949.47193224137
119,729941,185634.47686694335
120,730787,225804.56038569176
121,729765,78514.25415028096
122,729755,192633.80960127074
123,727406,184721.52042333543
124,729755,192025.1719721988
125,729765,176200.5936163282
126,729755,129335.4961777884
127,729870,204502.2433681737
128,729390,246802.55858867388
129,730781,209675.6632152852
130,729390,173461.72428550443
131,729755,151855.0884534504
132,729828,281190.58463123883
133,730090,153072.36371159428
134,730089,230977.9802328033
135,729709,219109.54646590035
136,730090,107728.86034573434
137,731947,164940.79747849723
138,730090,202980.64929549381
139,729892,165853.75392210516
140,729646,81253.12348110472
141,729025,143942.79927551508
142,728911,234934.12482177094
143,731947,252888.93487939332
144,728659,142116.88638829926
145,730090,213327.48898971686
146,729025,207545.4315135334
147,729025,218196.59002229242
148,729390,126900.94566150062
149,729025,213631.80780425284
150,729283,231586.61786187525
151,729025,111685.00493470198
152,729025,101338.16524047892
153,729390,223674.32868393994
154,729025,246498.2397741379
155,729025,169201.26088200085
156,729296,133900.278395828
157,729093,243759.37044331417
158,729025,95251.78894975946
159,729025,253497.57250846527
160,730486,190807.8967140549
161,731480,209675.6632152852
162,729333,245585.28333053
163,729107,152463.72608252233
164,728659,187156.07093962323
165,728576,158854.42118777777
166,728617,236151.40007991483
167,730416,148203.26267901872
168,729079,248019.83384681775
169,731581,223370.00986940396
170,728659,196589.95419023838
171,729205,207545.4315135334
172,729345,220326.82172404425
173,731291,143029.84283190718
174,729025,135421.87246850785
175,726468,189894.94027044697
176,728702,184721.52042333543
177,728659,163419.20340581736
178,729205,161897.6093331375
179,728294,105294.30982944656
180,728781,139986.65468654747
181,728460,152159.40726798636
182,729345,101946.80286955087
183,728334,195068.3601175585
184,730851,263540.09338815237
185,728460,198111.54826291825
186,730416,103772.7157567667
187,732264,190503.57789951892
188,729345,177722.18768900805
189,728294,73645.1531177054
190,728002,260192.58642825668
191,727817,166462.3915511771
192,728356,224587.28512754786
193,732264,210284.30084435715
194,728388,224282.9663130119
195,732264,211501.576102501
196,727661,175287.63717272028
197,727564,244063.68925785014
198,727564,120205.93174170922
199,732264,205110.88099724564
200,732264,170418.53614014474
201,727564,195372.67893209448
202,727518,215153.4018769327
203,729643,101338.16524047892
204,731216,206936.79388446145
205,727519,101033.84642594295
206,729390,182591.28872158364
207,727403,208154.06914260535
208,727203,176809.23124540015
209,727224,75775.3848194572
210,729643,131465.7278795402
211,732146,225500.24157115578
212,730851,152463.72608252233
213,727099,158245.78355870582
214,730255,243759.37044331417
215,732020,168288.30443839292
216,726468,272365.33900969557
217,730486,178939.46294715194
218,727154,156419.87067148997
219,727105,106207.26627305447
220,729390,240107.54466888247
221,731365,132683.0031376841
222,731581,160071.69644592167
223,727154,151550.7696389144
224,729755,103772.7157567667
225,729390,139986.65468654747
226,726468,135421.87246850785
227,731823,177417.86887447207
228,730394,231586.61786187525
229,729390,117467.06241088547
230,727564,242542.09518517027
231,732312,206328.1562553895
232,731216,188373.34619776712
233,729643,80948.80466656874
234,730425,132987.32195222008
235,727510,249845.7467340336
236,727142,128726.85854871645
237,731581,182286.96990704766
238,729643,174678.99954364833
239,729986,169201.26088200085
240,726833,167983.98562385695
241,730526,211805.894917037
242,727564,205719.5186263176
243,727383,255627.8042102171
244,731222,191720.85315766282
245,730851,251063.02199217747
246,728660,227021.83564383566
247,730851,239498.90703981055
248,731509,189894.94027044697
249,732254,145464.39334819495
250,731947,223370.00986940396
251,730851,206328.1562553895
252,731581,165549.43510756918
253,730353,202372.01166642187
254,731746,194764.04130302253
255,728294,151855.0884534504
256,732312,237368.67533805873
257,730879,147290.3062354108
258,732677,230369.34260373135
259,727564,183504.24516519153
260,730851,200241.77996467007
261,731216,125987.9892178927
262,730851,171635.81139828858
263,732215,237368.67533805873
264,730074,102859.7593131588
265,732677,254714.84776660916
266,732267,213631.80780425284
267,731704,204806.56218270966
268,729004,145160.07453365898
269,730486,157637.14592963387
270,731509,181069.69464890377
271,729181,206023.83744085356
272,731229,221239.77816765217
273,728872,181982.6510925117
274,731947,144551.43690458703
275,729390,153376.68252613026
276,731947,187764.70856869518
277,729390,167679.66680932097
278,730486,181982.6510925117
279,728659,164636.47866396126
280,728659,105902.9474585185
281,731509,129031.17736325243
282,729390,160680.33407499362
283,729390,183504.24516519153
284,730780,150942.13200984246
285,730851,166766.71036571305
286,729025,55994.66187461898
287,732677,57820.57476183482
288,728144,133900.278395828
289,729390,171027.1737692167
290,728294,175287.63717272028
291,726833,160680.33407499362
292,731138,186243.1144960153
293,727981,177722.18768900805
294,731117,97077.7018369753
295,727564,182895.6075361196
296,732622,152159.40726798636
297,732677,141812.56757376328
298,730437,198111.54826291825
299,730437,213936.1266187888
300,729755,124162.07633067686
301,730437,117467.06241088547
302,730437,197807.22944838228
303,730437,151550.7696389144
304,730437,120814.56937078117
305,731739,132378.68432314813
306,731216,152768.0448970583
307,729069,155506.91422788205
308,726951,197502.9106338463
309,727564,171635.81139828858
310,730437,143638.4804609791
311,731922,153376.68252613026
312,731216,195981.31656116643
313,730437,202372.01166642187
314,726963,188981.98382683904
315,730437,183199.92635065556
316,727644,132683.0031376841
317,731117,122944.80107253298
318,728649,215153.4018769327
319,730437,168592.6232529289
320,730564,204197.9245536377
321,730437,171635.81139828858
322,731509,141812.56757376328
323,732398,185330.15805240738
324,731274,111989.32374923796
325,730437,166158.07273664113
326,732398,146985.98742087482
327,730577,155811.23304241803
328,730437,129639.81499232438
329,729025,175287.63717272028
330,732289,145160.07453365898
331,730437,149116.21912262664
332,730437,114728.19308006171
333,729755,197198.59181931033
334,731117,146377.34979180287
335,730437,176809.23124540015
336,731117,255019.16658114514
337,726833,185634.47686694335
338,728787,145160.07453365898
339,731117,201154.73640827797
340,726833,201763.37403734992
341,729643,152768.0448970583
342,726727,131770.04669407618
343,731117,138160.74179933162
344,731825,166158.07273664113
345,728294,174374.68072911236
346,731117,196894.27300477435
347,731216,182591.28872158364
348,732312,181069.69464890377
349,730466,174374.68072911236
350,729390,234934.12482177094
351,729390,165549.43510756918
352,729025,156419.87067148997
353,731908,167071.02918024902
354,731908,160071.69644592167
355,731117,174678.99954364833
356,729755,88252.45621543209
357,728294,170722.85495468072
358,732160,153681.00134066623
359,727105,139986.65468654747
360,730189,173461.72428550443
361,732677,214849.08306239673
362,729390,94643.15132068751
363,731623,133595.95958129203
364,726833,207241.11269899743
365,731509,93425.87606254363
366,732312,155202.59541334608
367,732316,117162.7435963495
368,731947,91599.96317532778
369,729390,150637.8131953065
370,729390,213631.80780425284
371,729390,111076.36730563005
372,729390,84600.63044100042
373,731509,262931.4557590804
374,729390,110772.04849109407
